run_id,scenario,expected_behavior,observed_behavior,detected,rejected,rejection_reason,affected_stage,blockchain_event,global_model_impact,false_positive_status,limitation,evidence_type,source,source_file,evidence_epoch,current_interpretation
security-evidence,A1_invalid_groth16_proof,Verification fails and model is excluded,Legacy/mock invalid proof path rejects and excludes the model,True,True,invalid proof,proof verification,AuditLogged rejected,excluded,not evaluated,V2 direct Groth16 artifacts unavailable,mixed,hardhat/test/FairAIEthicalLedger.js,outputs/major_revision/security-evidence/attack_matrix.csv,historical_superseded,Current V2 Groth16 proof and negative-case evidence is in Proof_Overhead and Proof_Semantics.
security-evidence,A2_unauthorized_verifier_signature,Signature is rejected,Unauthorized EIP-712 signer is rejected,True,True,UnauthorizedSigner,verifier decision,none,excluded,not applicable,Depends on signer authorization administration,mixed,hardhat/test/FairAISignedVerifierV2.js,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
security-evidence,A3_tampered_signed_payload,Any signed-field mutation is rejected,Node round policy manifest metrics and decision mutations invalidate signer recovery,True,True,UnauthorizedSigner,verifier decision,none,excluded,not applicable,Recovery error does not identify the changed field,mixed,hardhat/test/FairAISignedVerifierV2.js,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
security-evidence,A4_replay_attack,Prior digest or nonce is rejected,Exact replay and nonce reuse revert,True,True,DecisionDigestAlreadyUsed or NonceAlreadyUsed,verifier decision,none,excluded,not applicable,Requires persistent chain state,mixed,hardhat/test/FairAISignedVerifierV2.js,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
security-evidence,A5_unauthorized_node,Registration or authorization fails,Unregistered node and missing role revert,True,True,NodeNotRegistered or MissingRole,contract submission,none,excluded,not applicable,Administrator compromise remains out of scope,mixed,hardhat/test/FairAIEthicalLedger.js,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
security-evidence,A6_duplicate_cid_or_submission,Duplicate has no aggregation weight,Duplicate submission and reused CID revert,True,True,DuplicateSubmission or DuplicateCid,contract submission,none,no duplicate weight,not applicable,CID uniqueness is ledger-local,mixed,hardhat/test/FairAIEthicalLedger.js,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
security-evidence,A7_ipfs_artifact_unavailable,Retrieval fails closed,Strict client raises an explicit request failure; real outage recovery measurement blocked,True,True,StrictIPFSError,artifact retrieval,none,no silent aggregation,not applicable,Docker socket unavailable,mixed,tests/test_revision_ipfs.py,outputs/major_revision/security-evidence/attack_matrix.csv,historical_superseded,Current real Kubo outage/recovery and unavailable-approved-artifact evidence is in IPFS_Availability and Trust_Boundary.
security-evidence,A8_ipfs_artifact_tampering,Content or digest mismatch is rejected,Byte mismatch fails strict payload verification,True,True,StrictIPFSError,artifact validation,none,excluded,not applicable,Real two-peer tampering timing blocked,mixed,tests/test_revision_ipfs.py,outputs/major_revision/security-evidence/attack_matrix.csv,historical_superseded,Current strict byte-verification evidence is in the Kubo full-path archive.
security-evidence,A9_random_weight_poisoning,Compare FedAvg and coordinate median,Five-seed 20-percent malicious-client experiment completed,False,False,not a policy violation,local update and aggregation,none,measured in poisoning results,not evaluated,FairAI proof path unavailable and poisoning is not inherently detected,mixed,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv,outputs/major_revision/security-evidence/attack_matrix.csv,historical_extended,The five-seed algorithmic result remains valid and is extended by the strict B4/B7 Kubo/V2 poisoning suite.
security-evidence,A10_sign_flip_poisoning,Compare FedAvg and coordinate median,Five-seed 20-percent malicious-client experiment completed,False,False,not a policy violation,local update and aggregation,none,measured in poisoning results,not evaluated,Attack scale is negative one and Full FairAI path unavailable,mixed,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv,outputs/major_revision/security-evidence/attack_matrix.csv,historical_extended,The five-seed algorithmic result remains valid and is extended by the strict B4/B7 Kubo/V2 poisoning suite.
security-evidence,A11_label_flip_attack,Flip malicious local labels,Five-seed 20-percent malicious-client experiment completed,False,False,not a policy violation,local training and aggregation,none,measured in poisoning results,not evaluated,Only binary labels are evaluated,mixed,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
security-evidence,A12_false_metric_reporting,Record that supplied compliant values can pass,Current relation binds supplied metrics but does not prove derivation from private data,False,False,current relation accepts internally consistent supplied values,metric generation and proof witness,DecisionConsumed possible,malicious model may be included,not applicable,Known undetected threat under current trust assumptions,mixed,docs/revision/proof_nonclaims.md,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
security-evidence,A13_metrics_modified_after_proof,Digest binding fails,Altered metrics digest fails canonical binding and signed-field validation,True,True,digest or signature mismatch,artifact binding and verifier decision,none,excluded,not applicable,SHA-256 is recomputed off circuit,mixed,tests/test_revision_binding.py,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
security-evidence,A14_compromised_authorized_verifier,Correctly signed false decision may pass,Compromised authorized signer decision is consumed,False,False,authorized signature is valid,verifier decision,DecisionConsumed,malicious model may be approved,not applicable,Single-verifier trust limitation,mixed,hardhat/test/FairAISignedVerifierV2.js,outputs/major_revision/security-evidence/attack_matrix.csv,current,Current bounded evidence; retain the stated limitation.
