run_id,field,visibility,location,encryption,potential_leakage,current_mitigation,residual_risk,evidence_type,source,source_file
governance,raw_training_data,private,local_node,environment_dependent,records and protected attributes,not uploaded by pipeline,host or client compromise,scope,docs/revision/privacy_scope.md,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,model_artifact,public_to_participants,IPFS,not_encrypted,model inversion and membership signals,CID integrity and policy-gated retrieval,no confidentiality guarantee,scope,scripts/ipfs_adapter.py,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,model_parameters,public_to_participants,model artifact,not_encrypted,parameter and update leakage,raw records omitted,inversion and membership risk remains,scope,fairai_revision/models.py,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,fairness_metrics,public,IPFS_and_verifier_inputs,not_encrypted,group outcome and population information,aggregate metrics and minimum group size,small-group and distribution leakage,scope,fairai_revision/fairness.py,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,public_inputs,public,proof_and_verifier,not_encrypted,identity policy threshold and metric correlation,canonical bounded schema,linkability remains,scope,circuits/FairnessEligibilityV2.circom,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,proof,public,IPFS_or_transaction,not_encrypted,statement and timing metadata,zero-knowledge hides witness under cryptographic assumptions,public statement remains visible,scope,docs/revision/proof_nonclaims.md,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,metadata,public_to_participants,IPFS,not_encrypted,software dataset model and execution details,schema minimization,metadata leakage remains,scope,scripts/fairai_mvp.py,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,manifest,public_to_participants,IPFS,not_encrypted,artifact graph and provenance,CID and digest binding,relationship disclosure remains,scope,scripts/fairai_mvp.py,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,CIDs,public,on_chain_and_reports,not_encrypted,artifact correlation and access pattern,content addressing,global linkability and availability metadata,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,node_id,public,on_chain,not_encrypted,participant linkability,pseudonymous bytes32 identifier,re-identification by context,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,round_id,public,on_chain,not_encrypted,participation cadence,coarse workflow identifier,timing correlation,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,policy_version,public,on_chain_or_signed_decision,not_encrypted,governance configuration history,version binding,policy evolution is observable,scope,hardhat/contracts/FairAISignedVerifierV2.sol,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,timestamp,public,on_chain,not_encrypted,activity timing and availability,block timestamp only,timing correlation,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,approval_status,public,on_chain,not_encrypted,participant performance or compliance inference,explicit audit purpose,reputational and attribute inference,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,ethereum_sender,public,on_chain,not_encrypted,account and participant linkability,role-based authorization,address correlation,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,transaction_events,public,on_chain,not_encrypted,workflow and artifact graph,immutable audit purpose,permanent metadata leakage,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,gas,public,on_chain,not_encrypted,operation and payload-size inference,none,size and behavior fingerprinting,scope,outputs/major_revision/gas-benchmark-30rep-6f80450/blockchain/gas_summary.csv,outputs/major_revision/governance/privacy_exposure_inventory.csv
governance,timing,observable,host_network_and_chain,not_encrypted,client workload and availability inference,aggregate reporting only,network observer can correlate activity,scope,docs/revision/privacy_threat_analysis.md,outputs/major_revision/governance/privacy_exposure_inventory.csv
