item,value
Purpose,Traceable FairAI major-revision evidence package
Evidence boundary,"Measured, derived, modeled, tested, blocked, and missing are distinguished"
Primary datasets,Adult and COMPAS
Core models,Federated logistic regression and small MLP
IPFS status,Measured on two native Kubo 0.29.0 peers with 30 repetitions
V2 proof status,Thirty valid proofs verified and six negative cases rejected; production ceremony still required
FairFed status,Published stateful weighting rule implemented and evaluated on Adult and COMPAS
Source of truth,Run manifests and source_file columns
Workbook role,Consolidated publication view derived from canonical CSV evidence
Result presentation sheets,Twenty formula-backed reviewer-result presentation sheets; 43 canonical evidence sheets remain the data source
Azure status,Configured and validated as infrastructure code; not executed or measured
