scenario,expected_behavior,observed_behavior,detected,rejected,rejection_reason,affected_stage,blockchain_event,global_model_impact,false_positive_status,limitation,evidence_type,source
A1_invalid_groth16_proof,Verification fails and model is excluded,Legacy/mock invalid proof path rejects and excludes the model,true,true,invalid proof,proof verification,AuditLogged rejected,excluded,not evaluated,V2 direct Groth16 artifacts unavailable,tested,hardhat/test/FairAIEthicalLedger.js
A2_unauthorized_verifier_signature,Signature is rejected,Unauthorized EIP-712 signer is rejected,true,true,UnauthorizedSigner,verifier decision,none,excluded,not applicable,Depends on signer authorization administration,tested,hardhat/test/FairAISignedVerifierV2.js
A3_tampered_signed_payload,Any signed-field mutation is rejected,Node round policy manifest metrics and decision mutations invalidate signer recovery,true,true,UnauthorizedSigner,verifier decision,none,excluded,not applicable,Recovery error does not identify the changed field,tested,hardhat/test/FairAISignedVerifierV2.js
A4_replay_attack,Prior digest or nonce is rejected,Exact replay and nonce reuse revert,true,true,DecisionDigestAlreadyUsed or NonceAlreadyUsed,verifier decision,none,excluded,not applicable,Requires persistent chain state,tested,hardhat/test/FairAISignedVerifierV2.js
A5_unauthorized_node,Registration or authorization fails,Unregistered node and missing role revert,true,true,NodeNotRegistered or MissingRole,contract submission,none,excluded,not applicable,Administrator compromise remains out of scope,tested,hardhat/test/FairAIEthicalLedger.js
A6_duplicate_cid_or_submission,Duplicate has no aggregation weight,Duplicate submission and reused CID revert,true,true,DuplicateSubmission or DuplicateCid,contract submission,none,no duplicate weight,not applicable,CID uniqueness is ledger-local,tested,hardhat/test/FairAIEthicalLedger.js
A7_ipfs_artifact_unavailable,Retrieval fails closed,Strict client raises an explicit request failure; real outage recovery measurement blocked,true,true,StrictIPFSError,artifact retrieval,none,no silent aggregation,not applicable,Docker socket unavailable,tested_and_blocked,tests/test_revision_ipfs.py
A8_ipfs_artifact_tampering,Content or digest mismatch is rejected,Byte mismatch fails strict payload verification,true,true,StrictIPFSError,artifact validation,none,excluded,not applicable,Real two-peer tampering timing blocked,tested,tests/test_revision_ipfs.py
A9_random_weight_poisoning,Compare FedAvg and coordinate median,Five-seed 20-percent malicious-client experiment completed,false,false,not a policy violation,local update and aggregation,none,measured in poisoning results,not evaluated,FairAI proof path unavailable and poisoning is not inherently detected,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
A10_sign_flip_poisoning,Compare FedAvg and coordinate median,Five-seed 20-percent malicious-client experiment completed,false,false,not a policy violation,local update and aggregation,none,measured in poisoning results,not evaluated,Attack scale is negative one and Full FairAI path unavailable,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
A11_label_flip_attack,Flip malicious local labels,Five-seed 20-percent malicious-client experiment completed,false,false,not a policy violation,local training and aggregation,none,measured in poisoning results,not evaluated,Only binary labels are evaluated,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
A12_false_metric_reporting,Record that supplied compliant values can pass,Current relation binds supplied metrics but does not prove derivation from private data,false,false,current relation accepts internally consistent supplied values,metric generation and proof witness,DecisionConsumed possible,malicious model may be included,not applicable,Known undetected threat under current trust assumptions,analytical_and_tested,docs/revision/proof_nonclaims.md
A13_metrics_modified_after_proof,Digest binding fails,Altered metrics digest fails canonical binding and signed-field validation,true,true,digest or signature mismatch,artifact binding and verifier decision,none,excluded,not applicable,SHA-256 is recomputed off circuit,tested,tests/test_revision_binding.py
A14_compromised_authorized_verifier,Correctly signed false decision may pass,Compromised authorized signer decision is consumed,false,false,authorized signature is valid,verifier decision,DecisionConsumed,malicious model may be approved,not applicable,Single-verifier trust limitation,tested,hardhat/test/FairAISignedVerifierV2.js
