run_id,dimension,classification,direct_measurement,implemented_support,nonclaim,evidence_type,source,source_file
governance,fairness,directly_operationalized,DP EO equalized-odds and subgroup-accuracy gaps,versioned threshold policy and pre-aggregation gate,Metrics do not establish all forms of fairness,scope,fairai_revision/fairness.py,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,transparency,supported_as_governance_property,none,manifests CIDs events and reports,Transparency quality or comprehension is not measured,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,accountability,supported_as_governance_property,none,role checks immutable events and decision provenance,Legal or institutional accountability is not established,scope,hardhat/contracts/FairAIEthicalLedger.sol,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,responsibility,not_operationalized,none,role assignment only,Responsible behavior is not mathematically evaluated,scope,docs/revision/ethical_scope.md,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,integrity,supported_as_governance_property,artifact and digest validation,CID content addressing canonical digests and signatures,Endpoint and signer honesty still matter,scope,tests/test_revision_binding.py,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,honesty,not_operationalized,none,signed identity and audit evidence only,Truthfulness of metrics or private data is not proved,scope,docs/revision/proof_nonclaims.md,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,respect,not_operationalized,none,none,No respect metric or institutional judgment is automated,scope,docs/revision/ethical_scope.md,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,leadership,not_operationalized,none,none,No leadership property is measured,scope,docs/revision/ethical_scope.md,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,compassion,not_operationalized,none,none,No compassion property is measured,scope,docs/revision/ethical_scope.md,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,civic_responsibility,not_operationalized,none,none,No civic-responsibility property is measured,scope,docs/revision/ethical_scope.md,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,loyalty,not_operationalized,none,none,No loyalty property is measured,scope,docs/revision/ethical_scope.md,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,respect_for_law,not_operationalized,none,configurable governance records only,Legal compliance requires external institutional review,scope,docs/revision/ethical_scope.md,outputs/major_revision/governance/ethics_scope_matrix.csv
governance,environmental_concern,not_operationalized,none,gas is measured for cost analysis only,Environmental impact is not measured,scope,outputs/major_revision/gas-benchmark-30rep-6f80450/blockchain/gas_summary.csv,outputs/major_revision/governance/ethics_scope_matrix.csv
